127.0.0.1 - - [26/Jul/2023:08:10:59 -0400] "GET /cisnatural/index.html HTTP/1.1" 200 815
127.0.0.1 - - [26/Jul/2023:10:53:58 -0400] "GET /cisnatural/versionInfo HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:53:59 -0400] "GET /cisnatural/servlet/StartCISPage?PAGEURL=/cisnatural/NatLogon.html&xciParameters.natserver=10.10.4.234&xciParameters.natport=3500&xciParameters.natsession=Local&xciParameters.natuser=NDV&xciParameters.nattimeout=0 HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:53:59 -0400] "GET /cisnatural/HTMLBasedGUI/general/aboutBlank.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:53:59 -0400] "GET /cisnatural/cisnatural/NatLogon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:53:59 -0400] "GET /cisnatural/cisnatural/NatLogon_JLIBS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:53:59 -0400] "GET /cisnatural/HTMLBasedGUI/general/cscform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:00 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:01 -0400] "GET /cisnatural/servlet/ HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:01 -0400] "GET /cisnatural/cisnatural/natlegacy.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:01 -0400] "GET /cisnatural/HTMLBasedGUI/general/blankpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:01 -0400] "GET /cisnatural/cisnatural/natlegacy_JLIBS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:01 -0400] "GET /cisnatural/HTMLBasedGUI/general/cscform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:01 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:01 -0400] "GET /cisnatural/natlegacy.jsp?sessionid=CASA1_240485542888&subsessionid=16903832392621840177796469201189&styleSheet=resources/natural.css&showPFKeyNumbers=false&doubleClickBehavior=50&pfkeysdisplay=0&checknumfields=true&autoskip=false HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:01 -0400] "GET /cisnatural/resources/nwoprint.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:01 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:05 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:09 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:16 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:18 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:22 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:25 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:26 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 18304
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:56:26 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:57:13 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:59:31 -0400] "GET /cisnatural/servlet/StartCISPage?PAGEURL=/cisnatural/NatLogon.html&xciParameters.natserver=10.10.4.234&xciParameters.natport=3500&xciParameters.natsession=Local&xciParameters.natuser=NDV&xciParameters.nattimeout=0 HTTP/1.1" 200 2848
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:59:31 -0400] "GET /cisnatural/HTMLBasedGUI/general/aboutBlank.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:59:31 -0400] "GET /cisnatural/cisnatural/NatLogon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:59:31 -0400] "GET /cisnatural/cisnatural/NatLogon_JLIBS.html HTTP/1.1" 304 -
