127.0.0.1 - - [25/Jul/2023:08:23:38 -0400] "GET /cisnatural/index.html HTTP/1.1" 200 815
127.0.0.1 - - [25/Jul/2023:08:42:32 -0400] "GET /cisnatural/versionInfo HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:33 -0400] "GET /cisnatural/servlet/StartCISPage?PAGEURL=/cisnatural/NatLogon.html&xciParameters.natserver=10.10.4.234&xciParameters.natport=3500&xciParameters.natsession=Local&xciParameters.natuser=NDV&xciParameters.nattimeout=0 HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:33 -0400] "GET /cisnatural/HTMLBasedGUI/general/aboutBlank.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:33 -0400] "GET /cisnatural/cisnatural/NatLogon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:33 -0400] "GET /cisnatural/cisnatural/NatLogon_JLIBS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:34 -0400] "GET /cisnatural/HTMLBasedGUI/general/cscform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:35 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:35 -0400] "GET /cisnatural/servlet/ HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:35 -0400] "GET /cisnatural/cisnatural/natlegacy.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:35 -0400] "GET /cisnatural/HTMLBasedGUI/general/blankpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:35 -0400] "GET /cisnatural/cisnatural/natlegacy_JLIBS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:35 -0400] "GET /cisnatural/HTMLBasedGUI/general/cscform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:35 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:35 -0400] "GET /cisnatural/natlegacy.jsp?sessionid=CASA1_247373750083&subsessionid=16902889536247871924755296958709&styleSheet=resources/natural.css&showPFKeyNumbers=false&doubleClickBehavior=50&pfkeysdisplay=0&checknumfields=true&autoskip=false HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:35 -0400] "GET /cisnatural/resources/nwoprint.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:35 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2428
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:39 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2385
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:42 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:42:47 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:01 -0400] "GET /cisnatural/servlet/StartCISPage?PAGEURL=/cisnatural/NatLogon.html&xciParameters.natserver=10.10.4.234&xciParameters.natport=3500&xciParameters.natsession=Local&xciParameters.natuser=NDV&xciParameters.nattimeout=0 HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:01 -0400] "GET /cisnatural/HTMLBasedGUI/general/aboutBlank.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:01 -0400] "GET /cisnatural/cisnatural/NatLogon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:01 -0400] "GET /cisnatural/cisnatural/NatLogon_JLIBS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:01 -0400] "GET /cisnatural/HTMLBasedGUI/general/cscform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:01 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:01 -0400] "GET /cisnatural/servlet/ HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:01 -0400] "GET /cisnatural/cisnatural/natlegacy.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:02 -0400] "GET /cisnatural/HTMLBasedGUI/general/blankpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:02 -0400] "GET /cisnatural/cisnatural/natlegacy_JLIBS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:02 -0400] "GET /cisnatural/HTMLBasedGUI/general/cscform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:02 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:02 -0400] "GET /cisnatural/natlegacy.jsp?sessionid=CASA2_411280335810&subsessionid=16902889817445858578359552161626&styleSheet=resources/natural.css&showPFKeyNumbers=false&doubleClickBehavior=50&pfkeysdisplay=0&checknumfields=true&autoskip=false HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:02 -0400] "GET /cisnatural/resources/nwoprint.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:02 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2428
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:04 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2385
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:05 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:13 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:18 -0400] "GET /cisnatural/servlet/StartCISPage?PAGEURL=/cisnatural/NatLogon.html&xciParameters.natserver=10.10.4.234&xciParameters.natport=3500&xciParameters.natsession=Local&xciParameters.natuser=NDV&xciParameters.nattimeout=0 HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:18 -0400] "GET /cisnatural/HTMLBasedGUI/general/aboutBlank.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:18 -0400] "GET /cisnatural/cisnatural/NatLogon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:18 -0400] "GET /cisnatural/cisnatural/NatLogon_JLIBS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:18 -0400] "GET /cisnatural/HTMLBasedGUI/general/cscform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:18 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:18 -0400] "GET /cisnatural/servlet/ HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [25/Jul/2023:08:43:18 -0400] "GET /cisnatural/cisnatural/natlegacy.html HTTP/1.1" 304 -
